armero,-25397.289,-4996.424,711.712,
armero0,-25397.046,-4996.157,711.640,
armero1,-25397.472,-4992.305,711.880,21
armero2,-25397.482,-4992.300,711.870,21
armero3,-25391.979,-4835.541,699.065,3
armero4,-25537.705,-4823.082,682.214,4
armero5,-25661.753,-4771.923,650.739,5
armero6,-25442.715,-4996.754,711.663,6
armero7,-25440.380,-4986.838,711.646,7
armero8,-25444.022,-4987.528,711.646,8
armero9,-25587.072,-4244.794,585.608,9
armero10,-25439.500,-4954.553,710.969,10
armero11,-25405.626,-4954.136,710.699,11
armero12,-25375.182,-4955.595,710.317,12
armero13,-25371.906,-4988.462,710.772,12
armero14,-25368.699,-4944.784,710.221,12
armero15,-25368.710,-4944.784,710.202,12
armero16,-25365.317,-4926.074,709.822,12
armero17,-25365.773,-4905.984,709.419,12
armero18,-25365.824,-4885.753,708.569,12
armero19,-25365.880,-4845.096,707.477,12
armero20,-25365.692,-4822.123,706.838,12
armero21,-25351.264,-4541.192,701.106,21
armero22,-25354.941,-4517.098,700.619,21
armero23,-25356.682,-4497.552,700.471,21
armero24,-25359.649,-4475.999,700.366,21
armero25,-25361.458,-4453.981,700.092,21
armero26,-25361.291,-4434.657,700.106,21
armero27,-25360.231,-4414.356,699.964,21
armero28,-25361.861,-4393.349,699.850,21
armero29,-25361.053,-4373.859,699.812,21
armero30,-25368.810,-4356.283,699.816,21
armero31,-25376.487,-4337.156,699.942,21
base2,-26232.930,-1240.363,316.094,
base3,-26231.556,-1240.126,315.978,
base5,-26229.826,-1235.868,323.711,21
base6,-23544.915,96.023,310.424,31
base7,-6169.914,-5651.686,942.777,31
base21,-25397.106,-4991.947,711.890,21
base armero,-25398.776,-4996.961,711.076,
base cascadas,0.000,0.000,447.167,
base dia1,-26235.401,-1241.691,312.476,
base falan,-11797.942,-4872.477,848.888,
base piedras,-76234.248,1325.186,425.367,
BASE_ARMERO,-25398.776,-4996.961,711.076,
BASE_CASCADAS,0.000,0.000,447.167,
BASE_DIA1,-26235.401,-1241.691,312.476,
BASE_FALAN,-11797.942,-4872.477,848.888,
cascadas0,-0.986,0.701,447.135,
cascadas1,16.369,147.212,449.477,
cascadas2,10.285,71.460,446.231,
cascadas2.1,-26202.249,-1197.076,311.246,
cascadas2.2,-26184.158,-1111.538,300.063,
cascadas2.3,-26169.569,-1079.994,296.715,
cascadas2.4,-26115.134,-1035.201,288.486,
cascadas3,20.968,-6.750,446.881,
cascadas4,16.786,-56.750,447.314,
falan1,-11831.019,-4682.069,833.289,
falan2,-11947.542,-4531.037,817.029,
falan3,-12040.234,-4367.310,792.001,
falan4,-12180.844,-4280.730,779.989,
falan5,-12360.350,-4209.215,774.200,
falan6,-12504.676,-4075.672,761.671,
falan7,-12551.535,-3907.017,739.173,
falan8,-12551.529,-3907.004,739.174,
falan9,-12624.953,-3823.806,704.305,
falan10,-12759.127,-3690.468,679.051,
falanbase,-11800.551,-4864.796,848.340,
nmariquita1,-6170.214,-5650.990,942.530,31
nmariquita2,-6197.611,-5677.610,937.139,31
nmariquita3,-6029.348,-5619.429,932.584,31
nmariquita4,-5893.540,-5522.144,923.982,31
nmariquita5,-5457.679,-4744.512,894.955,31
nmariquita6,-5457.679,-4744.521,894.951,31
nmariquita7,-5457.680,-4744.515,894.949,31
nmariquita8,-5065.023,-4231.538,846.667,31
nmariquita9,-4921.247,-4061.540,847.345,31
nmariquita10,-4921.239,-4061.519,847.341,31
nmariquita11,-4843.809,-3927.223,835.523,31
nmariquita12,-4843.764,-3927.252,835.529,31
nmariquita13,-4776.960,-3754.737,839.983,31
nmariquita14,-4642.537,-3611.259,826.253,31
nmariquita15,-4522.083,-3515.470,811.364,31
nmariquita16,-4421.292,-3417.698,792.981,31
nmariquita17,-4512.443,-2966.745,747.644,31
nmariquita18,-4387.967,-2790.073,734.527,31
punto20track,-25365.630,-4822.065,706.811,20
punto20tracl,-25365.640,-4822.086,706.824,20
punto20tracm,-25365.697,-4822.079,706.829,20
punto20tracn,-25365.644,-4822.034,706.824,20
punto20traco,-25365.650,-4822.038,706.804,20
punto20tracp,-25327.560,-4721.161,705.531,20
punto20tracq,-25327.737,-4718.900,705.453,20
punto20tracr,-25327.873,-4717.928,705.316,20
punto20tracs,-25327.852,-4717.875,705.269,20
punto20tract,-25327.822,-4717.865,705.244,20
punto20tracu,-25327.777,-4717.855,705.270,20
punto20tracv,-25327.814,-4717.840,705.281,20
punto20tracw,-25327.987,-4716.583,705.426,20
punto20tracx,-25328.278,-4714.795,705.438,20
punto20tracy,-25328.548,-4713.074,705.304,20
punto20tracz,-25328.711,-4712.225,705.299,20
punto20trada,-25328.725,-4712.188,705.301,20
punto20tradb,-25328.681,-4712.278,705.288,20
punto20tradc,-25328.723,-4712.206,705.291,20
punto20tradd,-25328.756,-4712.228,705.258,20
punto20trade,-25328.723,-4712.205,705.114,20
punto20tradf,-25328.646,-4711.994,705.106,20
punto20tradg,-25328.645,-4711.996,705.090,20
punto20tradh,-25328.635,-4712.015,705.085,20
punto20tradi,-25328.596,-4711.953,705.170,21
punto20tradj,-25329.249,-4708.688,705.216,21
punto20tradk,-25329.933,-4702.817,705.083,21
punto20tradl,-25330.207,-4700.778,705.068,21
punto20tradm,-25330.549,-4698.653,704.972,21
punto20tradn,-25330.908,-4696.590,705.035,21
punto20trado,-25331.101,-4694.560,704.973,21
punto20tradp,-25331.419,-4692.499,704.933,21
punto20tradq,-25331.575,-4690.273,704.891,21
punto20tradr,-25331.990,-4688.133,704.824,21
punto20trads,-25332.597,-4685.976,704.765,21
