punto20tradt,-25332.937,-4683.753,704.731,21
punto20tradu,-25333.223,-4681.546,704.675,21
punto20tradv,-25337.509,-4650.962,703.910,21
punto20tradw,-25337.739,-4648.798,703.880,21
punto20tradx,-25338.129,-4646.580,703.806,21
punto20trady,-25342.590,-4613.928,702.912,21
punto20tradz,-25342.941,-4611.470,702.913,21
punto20traea,-25343.542,-4609.479,702.772,21
punto20traeb,-25343.617,-4609.410,702.655,21
punto20traec,-25343.643,-4609.109,702.743,21
punto20traed,-25343.781,-4607.168,702.777,21
punto20traee,-25344.097,-4604.864,702.690,21
punto20traef,-25344.498,-4602.569,702.680,21
punto20traeg,-25344.913,-4600.230,702.673,21
punto20traeh,-25345.487,-4594.454,702.486,21
punto20traei,-25345.691,-4592.246,702.349,21
punto20traej,-25345.980,-4589.457,702.403,21
punto20traek,-25345.879,-4588.286,702.248,21
punto20trael,-25346.205,-4586.836,702.330,21
punto20traem,-25346.499,-4584.615,702.274,21
punto20traen,-25346.436,-4582.338,702.283,21
punto20traeo,-25346.542,-4580.156,702.203,21
punto20traep,-25346.579,-4578.231,702.009,21
punto20traeq,-25346.781,-4576.020,701.945,21
punto20traer,-25346.974,-4573.830,701.976,21
punto20traes,-25347.292,-4571.454,702.047,21
punto20traet,-25347.734,-4567.893,702.016,21
punto20traeu,-25348.123,-4565.184,701.666,21
punto20traev,-25348.152,-4565.081,701.558,21
punto20traew,-25348.152,-4565.081,701.558,21
punto20traex,-25348.151,-4565.086,701.561,21
punto20traey,-25348.151,-4565.086,701.561,21
sarmero1,-26232.257,-1229.701,311.946,11
sarmero2,-26261.573,-1505.582,314.382,11
sarmero3,-26260.347,-1806.183,313.970,11
sarmero4,-26047.414,-2005.110,312.012,11
sarmero5,-25977.591,-2263.975,314.283,11
sarmero6,-26177.422,-2225.387,315.414,11
sarmero7,-26186.157,-2432.033,312.347,11
sarmero8,-26186.149,-2432.029,312.417,11
sarmero9,-26165.258,-2602.234,315.629,11
sarmero10,-26195.439,-2513.242,313.002,11
sarmero11,-26214.560,-2521.466,313.040,11
sarmero12,-26211.080,-2542.239,313.438,11
sarmero13,-26231.862,-1240.865,315.818,
sarmero14,-26215.912,-2555.014,317.616,11
sarmero15,-26201.755,-2607.081,318.759,11
sarmero16,-26137.837,-2634.969,322.592,11
sarmero17,-25984.813,-2765.757,344.944,11
sarmero18,-25784.260,-2906.827,373.609,11
sarmero19,-28155.310,-1375.739,350.411,11
sarmero20,-28155.310,-1375.740,350.427,11
sarmero21,-27933.668,-1549.308,344.729,11
sarmero22,-27657.429,-1775.080,339.425,11
sarmero23,-27657.414,-1775.092,339.378,11
sarmero24,-27657.446,-1775.093,339.420,11
sarmero25,-26229.162,-1234.727,323.318,21
sarmero26,-23545.808,96.737,310.429,31
sarmero27,-23425.260,124.182,295.999,31
sarmero28,-23601.533,98.090,310.045,31
sarmero29,-23744.665,140.136,310.278,31
sarmero30,-23896.314,148.813,309.306,31
sarmero31,-24098.377,276.852,318.756,31
sarmero32,-24252.698,262.802,311.599,31
sarmero33,-24390.392,184.067,319.527,31
sarmero34,-24390.481,184.066,319.525,31
sarmero35,-24556.597,133.580,306.806,31
sarmero36,-24556.567,133.616,306.801,31
sarmero37,-24556.563,133.597,306.814,31
sarmero38,-24686.089,128.972,306.715,31
sarmero39,-24686.129,128.990,306.718,31
sarmero40,-24646.525,284.559,303.536,31
sarmero41,-24646.518,284.557,303.527,31
sarmero42,-24646.531,284.600,303.513,31
sarmero43,-24628.545,399.116,303.634,31
sarmero44,-24628.540,399.085,303.624,31
sarmero45,-24479.027,425.951,318.756,31
sarmero46,-24479.011,425.930,318.758,31
