DATOS GRAV GRUPO A																			
																			
1	4.1900001	309.8	1737.698	0.11	6.3	-5.1	-2.85 0	.154  4	3   8	15	:36:11	41873.64909	0.0000  2	014/09/23					
1	4.1900001	309.8	633.771	2.394	-1608	7 1471.	9 -2.87	0.155	2	0 1	5:38:22	41873.6506	0	9/23/2014					
1	4.1999998	309.8	1773.261	0.015	2.6	-8.5	-2.75 0	.153  6	0  30	17	:33:03	41873.73011	0.0000  2	014/09/23					
1	4.1999998	309.8	1773.227	0.423	7.1	-4.9	-2.74 0	.152  2	2  13	17	:34:12	41873.73091	0.0000  2	014/09/23					
1	4.1999998	309.8	1773.255	0.028	23.2	-12.2	-2.75 0	.151  6	0  38	17	:35:27	41873.73178	0.0000  2	014/09/23					
1	4.1999998	309.8	1773.266	0.019	26.1	-12.6	-2.76 0	.151  6	0  19	17	:36:35	41873.73256	0.0000  2	014/09/23					
1	4.1999998	309.8	1773.253	0.044	-9.2	4.3	-2.82 0	.149  6	0  41	17	:39:24	41873.73452	0.0000  2	014/09/23					
1	4.1999998	309.8	1773.25	0.018	-9	3.3	-2.85 0	.148  6	0  32	17	:40:32	41873.7353	0.0000  2	014/09/23					
1	4.1999998	309.8	1773.254	0.017	-9.2	4	-2.88 0	.148  6	0  11	17	:41:37	41873.73605	0.0000  2	014/09/23					
1	4.1999998	309.8	1773.231	0.095	-9.6	3.7	-2.89 0	0.148	7   1	17	:42:43	41873.73682	0.0000  2	014/09/23					
1	4.21	309.8	1773.258	0.038	6.7	15.7	-2.91 0	.147  5	9  36	17	:43:11	41873.73714	0.0000  2	014/09/23					
1	4.2199998	309.8	1773.237	0.121	5	-4.6	-2.93 0	.146  1	6   8	17	:44:48	41873.73826	0.0000  2	014/09/23					
